Games,Cópias vendidas,Hours Played,Número de jogadores,_merge,Popularidade,Temp Med,Jogadores por cópias,index,slug,isMultiplayer
Beatbuddy Tale of the Guardians,5,3.4,1.0,both,0.0260593109918173,3.4,0.2,252,beatbuddy-tale-of-the-guardians,0.0
Before the Echo,2,2.8,2.0,both,0.0104237243967269,1.4,1.0,253,before-the-echo,0.0
Bejeweled 2 Deluxe,1,0.3,1.0,both,0.0052118621983634,0.3,1.0,254,bejeweled-2-deluxe,0.0
Bejeweled 3,6,78.8,4.0,both,0.0312711731901808,19.7,0.6666666666666666,255,bejeweled-3,0.0
Bejeweled Deluxe,1,1.0,1.0,both,0.0052118621983634,1.0,1.0,256,bejeweled-deluxe,0.0
Bejeweled Twist,1,0.0,0.0,left_only,0.0052118621983634,,0.0,257,bejeweled-twist,0.0
"Ben There, Dan That!",4,2.5,1.0,both,0.0208474487934539,2.5,0.25,258,ben-there-dan-that,0.0
Besiege,11,75.9,11.0,both,0.0573304841819982,6.9,1.0,259,besiege,0.0
Betrayer,4,0.8,1.0,both,0.0208474487934539,0.8,0.25,260,betrayer,1.0
Beware Planet Earth,1,0.0,0.0,left_only,0.0052118621983634,,0.0,261,beware-planet-earth--1,0.0
Beyond Divinity,3,0.0,0.0,left_only,0.0156355865950904,,0.0,262,beyond-divinity,0.0
Beyond Good & Evil,1,0.0,0.0,left_only,0.0052118621983634,,0.0,263,beyond-good-evil,1.0
BiT Evolution,1,0.0,0.0,left_only,0.0052118621983634,,0.0,264,bit-evolution,0.0
Big Money! Deluxe,1,3.0,1.0,both,0.0052118621983634,3.0,1.0,265,big-money,0.0
Big Pharma,1,2.2,1.0,both,0.0052118621983634,2.2,1.0,266,big-pharma,0.0
Binary Domain,5,14.0,3.0,both,0.0260593109918173,4.666666666666667,0.6,267,binary-domain,1.0
BioShock,33,208.6,23.0,both,0.1719914525459946,9.069565217391304,0.696969696969697,268,bioshock--2,1.0
BioShock 2,32,56.8,14.0,both,0.1667795903476312,4.057142857142857,0.4375,269,bioshock-2,1.0
BioShock Infinite,44,635.9,30.0,both,0.2293219367279929,21.196666666666665,0.6818181818181818,270,bioshock-infinite,1.0
BioShock Infinite - Season Pass,7,0.0,0.0,left_only,0.0364830353885443,,0.0,Soundrack/Skin/Bonus,0,
BioShock Infinite Burial at Sea - Episode 1,7,0.0,0.0,left_only,0.0364830353885443,,0.0,272,bioshock-infinite-burial-at-sea-episode-1,1.0
BioShock Infinite Burial at Sea - Episode 2,7,0.0,0.0,left_only,0.0364830353885443,,0.0,273,bioshock-infinite-burial-at-sea-episode-2,1.0
Bionic Commando,1,0.0,0.0,left_only,0.0052118621983634,,0.0,274,bionic-commando--1,1.0
Bionic Commando Rearmed,4,0.0,0.0,left_only,0.0208474487934539,,0.0,275,bionic-commando-rearmed,1.0
Bionic Dues,3,4.6,2.0,both,0.0156355865950904,2.3,0.6666666666666666,276,bionic-dues,0.0
Black Fire,1,0.0,0.0,left_only,0.0052118621983634,,0.0,277,black-fire,0.0
Black Mesa,1,8.9,1.0,both,0.0052118621983634,8.9,1.0,278,black-mesa,1.0
Black Viper Sophia's Fate,1,0.2,1.0,both,0.0052118621983634,0.2,1.0,279,black-viper-sophias-fate,0.0
Blackguards,5,109.3,2.0,both,0.0260593109918173,54.65,0.4,280,blackguards,0.0
Blackguards 2,4,79.7,2.0,both,0.0208474487934539,39.85,0.5,281,blackguards-2,0.0
Blackguards Untold Legends,1,0.0,0.0,left_only,0.0052118621983634,,0.0,282,blackguards-untold-legends,0.0
Blacklight Retribution,26,199.4,12.0,both,0.1355084171574503,16.616666666666667,0.4615384615384615,283,blacklight-retribution,1.0
Blackwell Epiphany,1,0.0,0.0,left_only,0.0052118621983634,,0.0,284,the-blackwell-epiphany,0.0
Blade Symphony,2,10.6,2.0,both,0.0104237243967269,5.300000000000001,1.0,285,blade-symphony,1.0
Blast Em!,1,0.0,0.0,left_only,0.0052118621983634,,0.0,286,blast-em,0.0
Blaster Shooter GunGuy!,1,1.1,1.0,both,0.0052118621983634,1.1,1.0,287,blaster-shooter-gunguy,0.0
BlazBlue Calamity Trigger,1,0.0,0.0,left_only,0.0052118621983634,,0.0,288,blazblue-calamity-trigger,0.0
BlazBlue Continuum Shift Extend,1,0.0,0.0,left_only,0.0052118621983634,,0.0,289,blazblue-continuum-shift-extend,0.0
Bleed,1,0.8,1.0,both,0.0052118621983634,0.8,1.0,290,bleed,1.0
Blender 2.76b,8,0.2,1.0,both,0.0416948975869078,0.2,0.125,Soundrack/Skin/Bonus,0,
Block N Load,7,22.7,2.0,both,0.0364830353885443,11.35,0.2857142857142857,292,block-n-load,1.0
Blockland,4,12.1,2.0,both,0.0208474487934539,6.05,0.5,293,blockland,1.0
Blocks That Matter,3,6.2,3.0,both,0.0156355865950904,2.066666666666667,1.0,294,blocks-that-matter,0.0
Blockscape,1,0.5,1.0,both,0.0052118621983634,0.5,1.0,295,blockscape,0.0
Blockstorm,3,3.1,2.0,both,0.0156355865950904,1.55,0.6666666666666666,296,blockstorm,1.0
Blood Bowl Chaos Edition,2,60.8,2.0,both,0.0104237243967269,30.4,1.0,297,blood-bowl-chaos-edition,0.0
Blood Bowl Legendary Edition,5,35.7,3.0,both,0.0260593109918173,11.9,0.6,298,blood-bowl-legendary-edition,0.0
Blood Omen 2 Legacy of Kain,2,0.0,0.0,left_only,0.0104237243967269,,0.0,299,blood-omen-2-legacy-of-kain,0.0
Blood One Unit Whole Blood,1,0.8,1.0,both,0.0052118621983634,0.8,1.0,300,blood-one-unit-whole-blood,1.0
Blood of Old,3,1.6,1.0,both,0.0156355865950904,1.6,0.3333333333333333,301,blood-of-old,0.0
Blood of the Werewolf,1,0.5,1.0,both,0.0052118621983634,0.5,1.0,302,blood-of-the-werewolf,0.0
BloodRealm Battlegrounds,3,4.3,2.0,both,0.0156355865950904,2.15,0.6666666666666666,303,bloodrealm-battlegrounds,0.0
Bloodline Champions,6,18.6,2.0,both,0.0312711731901808,9.3,0.3333333333333333,304,bloodline-champions,1.0
Bloodsports.TV,1,0.0,0.0,left_only,0.0052118621983634,,0.0,305,bloodsports-dot-tv,0.0
Bloodsports.TV - Blood Brawl,1,0.0,0.0,left_only,0.0052118621983634,,0.0,306,bloodsports-dot-tv-blood-brawl,0.0
