Games,Cópias vendidas,Hours Played,Número de jogadores,_merge,Popularidade,Temp Med,Jogadores por cópias
Codename CURE,10,2.4,4.0,both,0.052118621983634754,0.6,0.4
Codename Gordon,4,1.8,4.0,both,0.0208474487934539,0.45,1.0
Codename Panzers - Cold War,2,6.3,2.0,both,0.01042372439672695,3.15,1.0
Coffin Dodgers,1,3.7,1.0,both,0.005211862198363475,3.7,1.0
Cogs,9,26.9,6.0,both,0.04690675978527128,4.483333333333333,0.6666666666666666
Coil,1,0.3,1.0,both,0.005211862198363475,0.3,1.0
Coin Crypt,2,2.9,2.0,both,0.01042372439672695,1.45,1.0
Coldfire Keep,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Colin McRae Rally,3,0.0,0.0,left_only,0.015635586595090425,,0.0
Combat Arms,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Combat Wings Battle of Britain,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Command and Conquer 3 Kane's Wrath,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Command and Conquer 3 Tiberium Wars,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Command and Conquer 4 Tiberian Twilight,4,25.400000000000002,4.0,both,0.0208474487934539,6.3500000000000005,1.0
Command and Conquer Red Alert 3,3,43.3,3.0,both,0.015635586595090425,14.433333333333332,1.0
Command and Conquer Red Alert 3 - Uprising,10,6.6,5.0,both,0.052118621983634754,1.3199999999999998,0.5
Commander Conquest of the Americas,1,7.5,1.0,both,0.005211862198363475,7.5,1.0
Commander Conquest of the Americas - Pirate Treasure Chest,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Commander Conquest of the Americas Gold,6,0.0,0.0,left_only,0.03127117319018085,,0.0
Commando Jack,3,0.0,0.0,left_only,0.015635586595090425,,0.0
Commandos 2 Men of Courage,5,0.5,2.0,both,0.026059310991817377,0.25,0.4
Commandos 3 Destination Berlin,2,1.1,1.0,both,0.01042372439672695,1.1,0.5
Commandos Behind Enemy Lines,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Commandos Beyond the Call of Duty,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Company of Heroes,25,113.5,11.0,both,0.13029655495908687,10.318181818181818,0.44
Company of Heroes (New Steam Version),27,311.8,8.0,both,0.14072027935581383,38.975,0.2962962962962963
Company of Heroes 2,12,146.7,10.0,both,0.0625423463803617,14.669999999999998,0.8333333333333334
Company of Heroes 2 - Ardennes Assault,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Company of Heroes Opposing Fronts,18,9.799999999999999,3.0,both,0.09381351957054256,3.266666666666666,0.16666666666666666
Company of Heroes Tales of Valor,17,73.7,7.0,both,0.08860165737217908,10.528571428571428,0.4117647058823529
Company of Heroes The Great War 1918,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Condemned Criminal Origins,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Confrontation,6,1.7,3.0,both,0.03127117319018085,0.5666666666666667,0.5
Conquest of Champions,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Consortium Soundtrack and Discoveries,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Construct 2 Free,4,4.1,1.0,both,0.0208474487934539,4.1,0.25
Contagion,11,38.0,7.0,both,0.05733048418199823,5.428571428571429,0.6363636363636364
Contraption Maker,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Contrast,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Controller Companion,1,1.2,1.0,both,0.005211862198363475,1.2,1.0
"Cook, Serve, Delicious!",5,14.899999999999999,3.0,both,0.026059310991817377,4.966666666666666,0.6
Copa Petrobras de Marcas,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Cortex Command,4,0.0,0.0,left_only,0.0208474487934539,,0.0
CortexGearAngryDroids,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Cosmic Osmo,1,0.2,1.0,both,0.005211862198363475,0.2,1.0
Cosmonautica,1,0.7,1.0,both,0.005211862198363475,0.7,1.0
Cosmonautica - Soundtrack,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Cossacks Art of War,1,61.0,1.0,both,0.005211862198363475,61.0,1.0
Costume Quest,9,24.2,8.0,both,0.04690675978527128,3.025,0.8888888888888888
Costume Quest 2,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Counter-Strike,120,23040.4,78.0,both,0.625423463803617,295.3897435897436,0.65
Counter-Strike Condition Zero,95,2551.0,27.0,both,0.4951269088445302,94.48148148148148,0.28421052631578947
Counter-Strike Condition Zero Deleted Scenes,95,31.1,14.0,both,0.4951269088445302,2.2214285714285715,0.14736842105263157
Counter-Strike Global Offensive,206,45481.9,199.0,both,1.073643612862876,228.55226130653267,0.9660194174757282
Counter-Strike Nexon Zombies,59,135.29999999999998,31.0,both,0.30749986970344506,4.364516129032258,0.5254237288135594
Counter-Strike Source,144,15329.2,106.0,both,0.7505081565643404,144.61509433962266,0.7361111111111112
Crab Cakes Rescue,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Cradle,1,4.2,1.0,both,0.005211862198363475,4.2,1.0
Craft The World,3,148.6,3.0,both,0.015635586595090425,49.53333333333333,1.0
Crash Time II,5,3.3,1.0,both,0.026059310991817377,3.3,0.2
Crayon Physics Deluxe,9,3.8,7.0,both,0.04690675978527128,0.5428571428571428,0.7777777777777778
Crazy Machines 2,3,12.6,1.0,both,0.015635586595090425,12.6,0.3333333333333333
Crazy Machines 2 - Jewel Digger DLC,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Crazy Machines 2 Fluid Add-On,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Crazy Machines Elements,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Crazy Taxi,3,0.0,0.0,left_only,0.015635586595090425,,0.0
Creativerse,4,29.0,4.0,both,0.0208474487934539,7.25,1.0
Creeper World 3 Arc Eternal,1,1.1,1.0,both,0.005211862198363475,1.1,1.0
CrimeCraft GangWars,7,3.6,1.0,both,0.036483035388544326,3.6,0.14285714285714285
Crimzon Clover  WORLD IGNITION,2,3.8000000000000003,2.0,both,0.01042372439672695,1.9000000000000001,1.0
Critical Mass,1,0.1,1.0,both,0.005211862198363475,0.1,1.0
CroNix,3,4.5,2.0,both,0.015635586595090425,2.25,0.6666666666666666
Crow - Hunter (Trapper Class),1,0.0,0.0,left_only,0.005211862198363475,,0.0
Crusader Kings II,17,518.2,14.0,both,0.08860165737217908,37.01428571428572,0.8235294117647058
Crusader Kings II Hymns of Abraham,3,0.0,0.0,left_only,0.015635586595090425,,0.0
Crusader Kings II Military Orders Unit Pack,4,0.0,0.0,left_only,0.0208474487934539,,0.0
Crusader Kings II Sons of Abraham,6,0.0,0.0,left_only,0.03127117319018085,,0.0
Crusader Kings II Warriors of Faith Unit Pack,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Crusaders of the Lost Idols,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Cry of Fear,28,35.1,13.0,both,0.1459321415541773,2.7,0.4642857142857143
Cryostasis,3,10.4,2.0,both,0.015635586595090425,5.2,0.6666666666666666
Crypt of the NecroDancer,5,42.5,5.0,both,0.026059310991817377,8.5,1.0
Crypt of the NecroDancer Extended Soundtrack,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Crypt of the Necrodancer Soundtrack,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Crysis,14,66.9,8.0,both,0.07296607077708865,8.3625,0.5714285714285714
Crysis 2 Maximum Edition,30,131.7,17.0,both,0.15635586595090425,7.747058823529411,0.5666666666666667
Crysis Warhead,9,10.1,2.0,both,0.04690675978527128,5.05,0.2222222222222222
Crysis Wars,9,0.4,2.0,both,0.04690675978527128,0.2,0.2222222222222222
Crystals of Time,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Cthulhu Saves the World ,7,3.6,5.0,both,0.036483035388544326,0.72,0.7142857142857143
