id,total_hours_played,size,clustering,games_played
110095045,0.0048182499289534195,1,1.0,3
163137081,0.006058335701552692,1,1.0,1
193129684,0.019583021158963505,1,1.0,8
103620349,0.0009558994497119387,1,1.0,2
83813208,0.0003229390032810603,1,1.0,1
130290346,6.458780065621206e-05,1,1.0,1
182399789,0.18749838530498367,1,1.0,52
106057222,0.06772676776810396,1,0.9862068965517241,7
178883999,0.0004521146045934844,1,0.6862579199505486,2
89286594,0.012336269925336504,1,0.9862068965517241,5
200175559,0.0002712687627560907,1,1.0,6
135177440,0.03508409331645439,1,1.0,4
109271976,5.167024052496966e-05,1,1.0,1
111456195,0.008254320923863901,1,1.0,1
271808456,0.006058335701552692,1,1.0,1
238773402,0.006381274704833752,1,1.0,5
83751255,0.019363422636732377,1,1.0,2
172086978,0.00012917560131242412,1,1.0,1
96977722,0.0022993257033611498,1,1.0,2
27417971,0.057250626501666374,1,1.0,2
154281477,0.05398248378846204,1,1.0,1
86915561,0.0022605730229674223,1,1.0,1
160427210,0.3650631668690417,1,1.0,23
140672677,0.0,1,1.0,1
283498338,3.8752680393727244e-05,1,1.0,1
279734186,3.8752680393727244e-05,1,1.0,1
137508279,0.051360219081819834,1,1.0,13
90362252,0.00043919704446224205,1,1.0,1
171932001,0.01820084222492056,1,1.0,1
146813551,6.458780065621206e-05,1,1.0,1
130324181,0.2024310848166998,1,0.780695638701681,23
30036927,0.3441883896969541,1,1.0,2
172666220,0.059692045366471186,1,1.0,14
106170243,0.028031105484796034,1,1.0,15
64394438,0.03102797943524428,1,1.0,2
97017439,0.013421344976360867,1,1.0,1
126471719,0.16918128503888188,1,0.780695638701681,10
169061944,0.002286408143229907,1,1.0,1
146999982,0.005929160100240268,1,1.0,6
67628444,0.002467253985067301,1,1.0,5
287668512,0.011987495801792961,1,1.0,2
215833301,0.0321001369261374,1,1.0,2
204829406,0.00015501072157490895,1,1.0,1
82174211,0.2135272689694371,1,1.0,22
85547059,0.00028418632288733305,1,1.0,1
181297952,0.0017826232981114532,1,1.0,1
202598205,0.06648668199550468,1,1.0,6
41089194,0.0005425375255121814,1,1.0,1
289524714,0.0004908672849872116,1,1.0,1
171452409,1.2917560131242414e-05,1,1.0,1
173051184,2.5835120262484825e-05,1,1.0,1
74811317,0.00016792828170615135,1,1.0,1
103373255,0.003991526080553905,1,1.0,1
23492094,0.6906631875371378,1,1.0,45
196594918,0.026597256310228128,1,1.0,1
236434806,0.010644069548143753,1,1.0,11
111003429,0.0001937634019686362,1,1.0,1
215518655,0.0019505515798176043,1,1.0,2
